id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek,rank
6932b2af-9477-4332-9110-37151f61a3e6,Marvin,Mims Jr.,113,110,WR55,WR,Denver Broncos,,,113
e2e9b082-a83c-4794-b6b8-43fc93d4701e,Keon,Coleman,114.1,120,WR56,WR,Buffalo Bills,,,114.1
2b840742-8233-4de4-a073-be236ca59595,Cam,Skattebo,116.7,106,RB37,RB,,,,116.7
7a0ecc53-d7de-458c-8208-cffa95512495,Travis,Kelce,117.4,147,TE10,TE,Kansas City Chiefs,,,117.4
9519b8a7-284f-4b34-9cf8-22efb2036627,Drake,Maye,117.8,266,QB15,QB,New England Patriots,,,117.8
658d6d5a-7578-489b-b3a9-ced90f927dee,Tucker,Kraft,119.4,117,TE11,TE,Green Bay Packers,,,119.4
1fc063ae-cb3d-47d7-adda-9160fdd2283e,Keenan,Allen,120.3,108,WR57,WR,Chicago Bears,,,120.3
4cc1eb1e-043c-49b1-9bd9-e71702ec2c18,Dallas,Goedert,121.7,112,TE12,TE,Philadelphia Eagles,,,121.7
262c0823-a032-4e4c-934d-83ac96c72534,Dak,Prescott,122,173,QB16,QB,Dallas Cowboys,,,122
00f5e8e2-6841-48a8-a807-b36c258c06fd,Tank,Bigsby,122.4,105,RB38,RB,Jacksonville Jaguars,,,122.4
2b5aebd1-b709-41d3-96c6-ff1cd8b8025c,Tre,Harris,125.4,117,WR58,WR,,,,125.4
85245e8d-c5ca-4a51-a935-06bcd38d63b2,Devin,Neal,125.8,91,RB39,RB,,,,125.8
4387b73e-806c-490c-ab64-65a5c95120be,C.J.,Stroud,126.2,234,QB17,QB,Houston Texans,,,126.2
f86065ac-8cfd-4fe9-bb20-ac7511e382f4,Tyjae,Spears,128.1,116,RB40,RB,Tennessee Titans,,,128.1
cdfe7cc8-3154-4730-be38-3bff5660aceb,Trevor,Lawrence,129,195,QB18,QB,Jacksonville Jaguars,,,129
cbe59921-f2a5-4987-bb5e-2686ec73bc4b,Travis,Hunter,130.3,50,WR59,WR,,,,130.3
3d51eb59-686d-4282-a106-0a562ff6b226,Xavier,Legette,131.3,113,WR60,WR,Carolina Panthers,,,131.3
e43ef32c-9335-449e-967e-f2c00c3f8dce,Dalton,Kincaid,131.6,111,TE13,TE,Buffalo Bills,,,131.6
94e30f40-58d6-445b-af15-994dbd446dd2,Michael,Penix,131.9,151,QB19,QB,Atlanta Falcons,,,131.9
681d1726-2327-4777-9e37-7487197130ad,Christian,Kirk,134.2,97,WR61,WR,Jacksonville Jaguars,,,134.2
44ae2a6d-6cc1-48b0-8ae3-82186a3128a5,Isaiah,Likely,134.6,98,TE14,TE,Baltimore Ravens,,,134.6
1b7dde3c-0b51-42e2-a136-70bdd038bfe7,Evan,Engram,135.6,97,TE15,TE,Jacksonville Jaguars,,,135.6
